A00001,A Figure Bowing before a Seated Old Man with his Arm Outstretched in Benediction. Verso: Indecipherable Sketch,"Watercolour, ink, chalk and graphite on paper. Verso: graphite on paper",,,"arm/arms raised, kneeling, sitting, man, man, old, blessing",date not known
A00126,‘With Songs the Jovial Hinds Return from Plow’,Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", cow, field, hill, sunset, group, man, walking, happiness, instrument, panpipes, instrument, pipe, plough, yoke, music, singing, ploughing","c. 1821, printed 1830"
,,,,,,
A00127,"‘And Unyok’d Heifers, Loitering Homeward, Low’",Wood engraving on paper,,,"""Philips, Ambrose, Imitation of Virgils First Eclogue"", ""Thornton, Robert John, The Pastorals of Virgil ..."", ""Virgil, Eclogues"", cow, sunset, man, plough, ploughing","c. 1821, printed 1830"
,,,,,,
A00128,Studies for a Nativity,Graphite on paper,Pre-Raphaelite Brotherhood,19th century,"Christ, Nativity, Virgin Mary, baby, figure, woman, kneeling, stable",date not known
,,,,,,
A00129,Design for a Window: Ethelbert,Graphite and watercolour on paper,Pre-Raphaelite Brotherhood,19th century,"Ethelbert, King, individuals: male, man, standing, cloak, staff, crown, orb, king",date not known
,,,,,,
A00130,Design for a Window: St James the Greater,Graphite and watercolour on paper,Pre-Raphaelite Brotherhood,19th century,"St James the Greater, carrying, man, standing, drapery, staff",date not known
,,,,,,
A00131,Frankfurt,Graphite on paper,,,"Frankfurt - non-specific, Germany, market, medieval, street",1840
,,,,,,
A00132,"Frauenkirche, Nuremberg",Graphite on paper,,,"Germany, Nuremberg, Frauenkirche, Gothic, church, market, street",1846
,,,,,,
A00133,Giessen,Graphite on paper,,,"Germany, Giessen, cart, figure, medieval, street, townscape",1871
,,,,,,
A00134,Prague,Graphite on paper,,,"Czech Republic, Prague - non-specific, cart, horse, street",1874
,,,,,,
A00135,"Frauenkirche, Prague",Graphite on paper,,,"Czech Republic, Prague, Frauenkirche, church, signage, street, townscape, tower, figure",1874
,,,,,,
A00136,Cochem,Graphite on paper,,,"Cochem - non-specific, Germany, River Endert, hill, river, townscape, waterfront",1860
,,,,,,
A00137,"Maximilianstrasse, Augsburg",Graphite on paper,,,"Augsburg, Maximilianstrasse, Germany, crowd, woman, fountain, statue, street, streetlight, tower",date not known
,,,,,,
A00138,"Haupt Markt and St Sebald, Nuremberg",Graphite on paper,,,"Germany, ""Nuremberg, St Sebalduss Church"", Gothic, church, street, townscape, figure",1846
,,,,,,
A00139,"Markt, Coburg",Graphite on paper,,,"Coburg - non specific, Germany, figure, market, street",1863
,,,,,,
A00140,Coburg,Graphite on paper,,,"Coburg - non specific, Germany, bird - non-specific, figure, fountain, statue, street",1863
,,,,,,
A00141,Frankfurt,Graphite on paper,,,"Frankfurt - non-specific, Germany, medieval, street, townscape, tower",1846
,,,,,,
A00142,"Rathaus, Hanover",Graphite on paper,,,"Germany, Hanover - non-specific, figure, market, town hall, street",1852
,,,,,,
A00143,"Unidentified Market Place, ? Lubeck or Leipzig",Graphite on paper,,,"Germany, Leipzig - non-specific, Lubeck - non-specific, square, townscape, tower",1852
,,,,,,
A00144,"Royal Palace, Dresden",Graphite on paper,,,"Dresden, Royal Palace, Germany, figure, palace, portico",1852
,,,,,,
A00145,"Rathaus, Gotha",Graphite on paper,,,"Germany, Gotha, figure, street, townscape, town hall",1852
,,,,,,
A00146,"Rathaus, Eisenach",Graphite on paper,,,"Eisenach, Germany, cart, market, town hall, statue, townscape",1852
,,,,,,
A00147,Quai on the Moselle,Graphite on paper,,,"River Mosel, boat - non-specific, cart, bridge, dock, townscape, figure, hill, river",1860
,,,,,,
A00148,"Place St Pharailde, Ghent",Graphite on paper,,,"Belgium, Ghent, Place St Pharailde, clocktower, market, street, townscape, figure",1850
,,,,,,
A00149,"Vegetable Market, Ghent",Graphite on paper,,,"Belgium, Ghent - non-specific, figure, group, market, street, townscape",date not known
,,,,,,
A00150,Rotterdam,Graphite on paper,,,"Netherlands, Rotterdam - non-specific, boat - non-specific, harbour, tower, townscape, waterfront",1845
,,,,,,
A00151,Namur,Graphite on paper,,,"Belgium, Namur - non-specific, River Meuse, boat - non-specific, bridge, fortification, townscape, hill, wooded, river",1844
,,,,,,
A00152,"St Paul, Antwerp",Graphite on paper,,,"Antwerp, Collegiate Church of St Paul, Belgium, church, railing, street, woman",1844
,,,,,,
A00153,"Old Palais de Justice, Malines",Graphite on paper,,,"Belgium, Malines, Old Palais de Justice, court, medieval, square, figure",1850
,,,,,,
A00154,"St Michael and Belfry, Ghent",Graphite on paper,,,"Belgium, ""Ghent, St Michaels Church"", cart, church, medieval, street, tower, clock",1844
,,,,,,
A00155,Botzen,Graphite on paper,,,"Bolzano - non-specific, Italy, cart, colonnade, medieval, street, figure",1846
,,,,,,
A00156,Innsbruck,Graphite on paper,,,"Austria, Innsbruck - non-specific, figure, mountain, statue, street, townscape, tower",1846
,,,,,,
A00157,The Bride,Line engraving on paper,Shoreham / The Ancients,19th century,"Beulah, beehive, crook, fruit, grape, eroticism, marriage, female, male, man, woman, walking, fence, path, fertility, river, sheep, star, valley, wooded, vine, salvation, soul, shepherd / shepherdess, sinner - sheep, soul - bride",1828
,,,,,,
A00158,The Sheep of his Pasture,Line engraving on paper,Shoreham / The Ancients,19th century,"corn, hill, valley, wooded, river, sunset, farm, fence, idyll",c.1828
,,,,,,
A00159,The Ploughman,Wood engraving on paper,Shoreham / The Ancients,19th century,"eroticism, female, male, man, woman, fertility, fruit, grape, plough, horse, sheep, serpent, vine, wooded, ploughing, shepherd / shepherdess",1827
,,,,,,
A00160,The Brook,Wood engraving on paper,Shoreham / The Ancients,19th century,"bee, honeycomb, sheep, stream, valley, wooded, beehive, honey, jar, bending forward, standing, carrying, woman, cottage, drawing water, fertility",1829
,,,,,,
A00161,The Chamber Idyll,Wood engraving on paper,Shoreham / The Ancients,19th century,"bed, crook, plough, sickle, fruit, apple, bedroom, cow, sheep, farmland, wooded, night, star, dressing / undressing, female, male, man, woman, sitting, standing, eroticism, sex, fertility, idyll",1831
,,,,,,
A00162,The Cyder Feast,Wood engraving on paper,Shoreham / The Ancients,19th century,"apple, ox, sun, basket, cider press, yoke, drink, cider, fruit, apple, ladder, dance, fertility, fruit-pressing, man, woman",1828
,,,,,,
A00163,The Lady and the Rooks,Wood engraving on paper,Shoreham / The Ancients,19th century,"Gothic, building - non-specific, turret, hill, wooded, rook, walking, woman",1829
,,,,,,
A00164,The Return Home,Wood engraving on paper,Shoreham / The Ancients,19th century,"cottage, path, donkey, valley, wooded, man, woman, tiredness, riding, shepherd / shepherdess",1830
,,,,,,
A00165,"The Bacchante, engraved by Welby Sherman",Wood engraving on paper,Shoreham / The Ancients,19th century,"Bacchante, female, looking up, standing, woman, instrument, lyre, music, valley, wooded",c.1825
,,,,,,
A00166,The Flood,Lithograph on paper,Shoreham / The Ancients,19th century,"bridge, cow, sheep, death, flood, river, wave, valley, wooded, cowherd, danger, destruction, man, woman, supporting, walking",1829
,,,,,,
A00167,Ideal Pastoral Life,Lithograph on paper,Shoreham / The Ancients,19th century,"female, male, man, woman, standing, fence, forest, sheep, idyll, shepherd / shepherdess, staff",1829
,,,,,,
A00168,Windmill. Verso: Foliage (?),Watercolour on paper. Verso: graphite on paper,,,windmill,date not known
,,,,,,
A00169,Horse and Barge. Verso: tracing of horse from recto,Watercolour on paper. Verso: graphite on paper,,,"boat, barge, horse",date not known
,,,,,,
A00170,Horse’s Head,Watercolour and graphite on paper,,,"harness, horseshoe, head, horse",date not known
,,,,,,
A00171,Head and Shoulders of a Horse,Watercolour on paper,,,"head, horse",date not known
,,,,,,
A00172,Two Naval Pensioners with Shipping Behind,Watercolour on paper,,,"boat, sailing, hat, spear, man, standing, sailor, sea",date not known
,,,,,,
A00173,Seated Naval Pensioner. Verso: indecipherable sketch,Watercolour on paper. Verso: graphite on paper,,,"hat, man, sitting, sailor",date not known
,,,,,,
A00174,Two Naval Pensioners. Verso: traces of pencil drawing,Watercolour on paper. Verso: graphite on paper,,,"hat, man, standing, sailor",date not known
,,,,,,
A00175,Naval Pensioner,Watercolour and graphite on paper,,,"hat, man, standing, sailor",date not known
,,,,,,
A00176,Bridge and Castle,Watercolour on paper,,,"bridge, castle, hill, wooded, river",date not known
,,,,,,
A00177,Caernarvon Castle,Watercolour on paper,,,"Caernarfon, Caernarfon Castle, Caernarfonshire and Merionethshire, Menai Straits, Wales, boat, sailing, castle, coast, figure, pulling",date not known
,,,,,,
A00178,Landscape,Watercolour on paper,,,"figure, rocky, wooded",date not known
,,,,,,
A00179,Landscape with Flock of Sheep,Watercolour on paper,,,"hill, wooded, sheep, man",date not known
,,,,,,
A00180,Open Landscape,Watercolour on paper,,,"cloud, field, hill, wooded",date not known
,,,,,,
A00181,A Bridge,Watercolour on paper,,,"arch, bridge, figure, river, rocky",date not known
,,,,,,
A00182,Landscape with Windmill and Man Ploughing,Watercolour on paper,,,"farmland, valley, wooded, horse, man, plough, ploughing, windmill",date not known
,,,,,,
A00183,Landscape with Windmill,Watercolour on paper,,,"hill, windmill",date not known
,,,,,,
A00184,Landscape,Watercolour and graphite on paper,,,wooded,date not known
,,,,,,
A00185,Sketch for ‘Crossing Lancaster Sands’,Ink and watercolour on paper. Verso: graphite on paper,,,"Cumbria, Lancashire, England, Morecambe Bay, cart, riding, coast, figure, group",date not known
,,,,,,
A00186,Costume Study: Peasant Woman,Watercolour and graphite on paper,,,"standing, woman",date not known
,,,,,,
A00187,Costume Study: Woman with Umbrella. Verso: erased figure study,Watercolour on paper. Verso: graphite on paper,,,"shawl, umbrella, woman",date not known
,,,,,,
A00188,Studies of Farm Hands and a Coat on a Fence. Verso: tracing of farm boy from recto,Watercolour on paper. Verso: graphite on paper,,,"bending forward, standing, boy, man, coat, farm labourer, fence",date not known
,,,,,,
A00189,Four Figure Studies. Verso: Landscape with Water,Watercolour and graphite on paper. Verso: graphite on paper,,,"bundle, carrying, man, woman",date not known
,,,,,,
A00190,Wooded Landscape with Three Cows at a Pool,Aquatint on paper,,,"cow, pool, wooded","c.1785–8, reprinted 1797"
,,,,,,
A00191,Study for ‘The Judgement of Solomon’. Verso: Study of a Head,Crayon and chalk on paper,,,head / face,c.1812–4
,,,,,,
A00192,Sir George Beaumont,Ink on paper,,,"Beaumont, George, Sir, head / face, individuals: male, man, collector / patron",1814
,,,,,,
A00193,Study of Cows,Graphite on paper,,,cow,date not known
,,,,,,
A00194,Sheep on the Road,Watercolour and graphite on paper,,,"cow, horse, sheep, wooded, figure, riding, road",date not known
,,,,,,
A00195,Cows in a Landscape,Watercolour on paper,,,"coast, sea, cow",date not known
,,,,,,
A00196,Study of a Horse,Graphite on paper,,,"harness, horse",date not known
,,,,,,
A00197,title not known,Graphite on paper,,,"crouching, head in hand/hands, reclining, girl",date not known
,,,,,,
A00198,title not known,Graphite on paper,,,,date not known
,,,,,,
A00199,title not known,Graphite on paper,,,,date not known
,,,,,,
A00200,title not known,Graphite on paper,,,,date not known
,,,,,,
A00201,title not known,Graphite on paper,,,"girl, standing",date not known
,,,,,,
A00202,title not known,Graphite on paper. Verso: graphite and watercolour on paper,,,"""artists notes"", chair, table, child, group, sitting",date not known
,,,,,,
A00203,title not known,Graphite on paper,,,"arms folded, looking down, girl",date not known
,,,,,,
A00204,title not known,Graphite on paper,,,"baby, hand, head / face",date not known
,,,,,,
A00205,title not known,Graphite on paper. Verso: watercolour on paper,,,"girl, sitting",date not known
,,,,,,
A00206,title not known,Graphite on paper,,,"girl, head / face, looking up",date not known
,,,,,,
A00207,title not known,Graphite on paper,,,"child, sitting, woman, mother and child",date not known
,,,,,,
A00208,title not known,Graphite on paper,,,"child, sitting",date not known
,,,,,,
A00209,title not known,Graphite on paper,,,"boy, girl",date not known
,,,,,,
A00210,title not known,Graphite on paper,,,"falling, girl",date not known
,,,,,,
A00211,Old Sal for ‘At the Back of the North Wind’,Ink on paper,,,"""MacDonald, George, At the Back of the North Wind"", bed, chair, candlestick, bedroom, fist/fists clenched, reclining, gesticulating, woman, old, night, shadow",c.1869
,,,,,,
A00212,The Drunken Cabman for ‘At the Back of the North Wind’,Ink and graphite on paper,,,"""MacDonald, George, At the Back of the North Wind"", baby, boy, drunkenness, man, woman, reclining, sitting, bed, chair, coachman, interior - non-specific",c.1870
,,,,,,
A00213,The Wicked Fairy for ‘At the Back of the North Wind’,Ink and graphite on paper,,,"""MacDonald, George, At the Back of the North Wind"", anger, castle, cat, hill, wooded, snake, toad, deformity, fist/fists clenched, standing, gesticulating, woman, fairy, familiar, witch, hat",c.1870
,,,,,,
A00217,Landscape Sketch,Graphite on paper,,,"barn, wooded",date not known
,,,,,,
A00218,Landscape Sketch,Graphite on paper,,,"barn, wooded",date not known
,,,,,,
A00219,title not known,Ink on paper,,,"carrying, child, standing, woman, hat, bonnet",date not known
,,,,,,
A00220,title not known,Ink and graphite on paper,,,"female, male, head in hand/hands, sitting, man, woman",date not known
,,,,,,
A00221,title not known,Ink and watercolour on paper,,,"boy, girl, standing",date not known
,,,,,,
A00222,title not known,Ink on paper,,,"basket, man, sitting",date not known
,,,,,,
A00223,title not known,Ink and watercolour on paper,,,"girl, standing, woman",date not known
,,,,,,
A00224,title not known,Ink on paper,,,"book - non-specific, chair, head in hand/hands, legs crossed, sitting, man, reading",date not known
,,,,,,
A00225,title not known,Ink and watercolour on paper,,,"baby, child, girl, carrying, standing, woman, basket",date not known
,,,,,,
A00226,title not known,Ink and watercolour on paper,,,"bowl, boy, man, sitting, standing",date not known
,,,,,,
A00227,title not known,Ink and graphite on paper,,,"head in hand/hands, legs crossed, sitting, man",date not known
,,,,,,
A00228,title not known,Ink and watercolour on paper,,,"boy, reclining, sleeping, stair / step",date not known
,,,,,,
A00229,title not known,Ink and watercolour on paper,,,"carriage, horse, ladder",date not known
,,,,,,
A00230,title not known,Ink on paper,,,"boy, donkey",date not known
,,,,,,
A00231,title not known,Ink on paper,,,"boy, reclining, sleeping, stair / step",date not known
,,,,,,
A00232,title not known,Ink on paper,,,"hat, man, sitting, talking, sailor",date not known
,,,,,,
A00233,title not known,Ink on paper,,,"basket, cloak, hat, cap, umbrella, walking, woman",date not known
,,,,,,
A00234,title not known,Ink on paper,,,"basket, donkey, pack animal, riding, woman",date not known
,,,,,,
A00235,title not known,Ink on paper,,,"child, girl, embracing, group, kneeling, woman, tenderness",date not known
,,,,,,
A00236,title not known,Ink on paper,,,"bed, lying down, man, sleeping",date not known
,,,,,,
A00237,title not known,Ink on paper,,,"hat, cap, man, sitting",date not known
,,,,,,
A00238,title not known,Ink and graphite on paper,,,"girl, standing, woman, reading",date not known
,,,,,,
A00239,title not known,Ink on paper,,,"child, walking, hat, pinafore",date not known
,,,,,,
A00240,title not known,Ink and graphite on paper,,,"bundle, donkey, pack animal, riding, woman",date not known
,,,,,,
A00241,title not known,Ink on paper,,,"carrying, child, man, woman, reclining, walking, hat, bonnet",date not known
,,,,,,
A00242,title not known,Ink on paper,,,"basket, child, woman, donkey, foliage, pack animal, riding",date not known
,,,,,,
A00243,title not known,Ink and graphite on paper,,,"child, group, woman, donkey, riding",date not known
,,,,,,
A00244,title not known,Ink and watercolour on paper,,,"back, group, man, woman, sitting, standing, bench",date not known
,,,,,,
A00245,title not known,Ink on paper,,,"boot, spur, man, standing",date not known
,,,,,,
A00246,title not known,Ink on paper,,,"arms folded, sitting, man, hat, cap",date not known
,,,,,,
A00247,title not known,Ink on paper,,,"baby, girl, sitting, wheelbarrow",date not known
